date,region,country,product,units,revenue,cost
2026-01-05,emea,fr,widget,120,2400.00,900.00
2026-01-12,emea,de,gadget,80,3200.00,1400.00
2026-01-19,amer,us,widget,200,4000.00,1500.00
2026-01-26,apac,jp,gizmo,60,1800.00,700.00
2026-02-02,emea,fr,gadget,90,3600.00,1600.00
2026-02-09,amer,us,gizmo,150,4500.00,1800.00
2026-02-16,apac,in,widget,110,2200.00,800.00
2026-02-23,emea,gb,widget,70,1400.00,520.00
2026-03-02,amer,ca,gadget,130,5200.00,2300.00
2026-03-09,apac,jp,widget,95,1900.00,720.00
2026-03-16,emea,de,gizmo,140,4200.00,1700.00
2026-03-23,amer,us,widget,210,4200.00,1600.00
2026-04-06,apac,in,gadget,60,2400.00,1050.00
2026-04-13,emea,fr,gizmo,100,3000.00,1200.00
2026-04-20,amer,us,gadget,175,7000.00,3100.00
2026-04-27,apac,jp,widget,88,1760.00,660.00
2026-05-04,emea,gb,gizmo,120,3600.00,1450.00
2026-05-11,amer,ca,widget,160,3200.00,1200.00
2026-05-18,apac,in,gizmo,75,2250.00,900.00
2026-05-25,emea,de,widget,130,2600.00,980.00
2026-06-01,amer,us,gizmo,190,5700.00,2280.00
2026-06-08,apac,jp,gadget,70,2800.00,1250.00
2026-06-15,emea,fr,widget,145,2900.00,1080.00
2026-06-22,amer,ca,gizmo,110,3300.00,1320.00
